Anastasio Alfaro;Anastasio Alfaro;Anastasio;Alfaro;-2;Male
Anastasio Alfaro;Anastasio Alfaro;Anastasio;Alfaro;-2;Male
Calle Paso Flores;Paso Flores;Paso;Flores;2;Female
El Carmen;El Carmen;El;Carmen;2;Female
El Carmen;El Carmen;El;Carmen;2;Female
La Paz;La Paz;La;Paz;2;Female
Jesús Ocaña Rojas;Jesús Ocaña Rojas;Jesús;Ocaña;-2;Male
Anastasio Alfaro;Anastasio Alfaro;Anastasio;Alfaro;-2;Male
Calle ancha - Sureste;ancha - Sureste;ancha;-;0;Unknown
Calle Anastasio Alfaro;Anastasio Alfaro;Anastasio;Alfaro;-2;Male
La Concordia;La Concordia;La;Concordia;2;Female
Avenida La Concordia;La Concordia;La;Concordia;2;Female
Avenida La Concordia;La Concordia;La;Concordia;2;Female
Calle Paso Flores;Paso Flores;Paso;Flores;2;Female
Jesús Ocaña Rojas;Jesús Ocaña Rojas;Jesús;Ocaña;-2;Male
Calle Paso Flores;Paso Flores;Paso;Flores;2;Female
Juan Santamaría;Juan Santamaría;Juan;Santamaría;-2;Male
Bernardo Soto;Bernardo Soto;Bernardo;Soto;-2;Male
Boulevard Los Adobes;Los Adobes;Los;Adobes;0;Unknown
Condo La Francia;Condo La Francia;Condo;La;2;Female
Calle Eribela López;Eribela López;Eribela;López;0;Unknown
Calle Lagunilla;Lagunilla;Lagunilla;;0;Unknown
Calle Ruta del Sol;Ruta Sol;Ruta;Sol;2;Female
El Tejar;El Tejar;El;Tejar;0;Unknown
Calle el Urbano;el Urbano;el;Urbano;-2;Male
Calle Imperio Verde;Imperio Verde;Imperio;Verde;2;Female
Calle Barquero;Barquero;Barquero;;0;Unknown
Calle Rojas;Rojas;Rojas;;0;Unknown
Calle La Cañada;La Cañada;La;Cañada;0;Unknown
Calle La Perla;La Perla;La;Perla;2;Female
Calle Los Conejos;Los Conejos;Los;Conejos;0;Unknown
Calle Ismael Chaverri Quesada;Ismael Chaverri Quesada;Ismael;Chaverri;-2;Male
Calle Ismael Chaverri Quesada;Ismael Chaverri Quesada;Ismael;Chaverri;-2;Male
Jesús Ocaña Rojas;Jesús Ocaña Rojas;Jesús;Ocaña;-2;Male
Jesús Ocaña Rojas;Jesús Ocaña Rojas;Jesús;Ocaña;-2;Male
UTN;UTN;UTN;;0;Unknown
Calle La Avioneta;La Avioneta;La;Avioneta;0;Unknown
Jesús Ocaña Rojas;Jesús Ocaña Rojas;Jesús;Ocaña;-2;Male
